data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-01-02T23:13:19,Abruzzo,685,0,685,7935,8.63,5.25,0,60.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Basilicata,303,0,303,4980,6.08,5.44,0,89.42,2021-01-02T23:58:02
2021-01-02T23:13:19,Calabria,448,0,448,12955,3.46,2.33,0,67.31,2021-01-02T23:58:02
2021-01-02T23:13:19,Campania,6671,0,6671,33870,19.7,11.53,0,58.54,2021-01-02T23:58:02
2021-01-02T23:13:19,Emilia-Romagna,5504,0,5504,43875,12.54,12.32,0,98.22,2021-01-02T23:58:02
2021-01-02T23:13:19,Friuli-Venezia Giulia,1948,0,1948,11965,16.28,16.08,0,98.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Lazio,16366,0,16366,45805,35.73,27.9,0,78.09,2021-01-02T23:58:02
2021-01-02T23:13:19,Liguria,1889,0,1889,15920,11.87,12.24,0,103.17,2021-01-02T23:58:02
2021-01-02T23:13:19,Lombardia,2446,0,2446,80595,3.03,2.42,0,79.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Marche,953,0,953,8975,10.62,6.28,0,59.11,2021-01-02T23:58:02
2021-01-02T23:13:19,Molise,50,0,50,2975,1.68,1.65,0,98.42,2021-01-02T23:58:02
2021-01-02T23:13:19,P.A. Bolzano,1037,0,1037,5995,17.3,19.91,0,115.09,2021-01-02T23:58:02
2021-01-02T23:13:19,P.A. Trento,1730,0,1730,4975,34.77,31.91,0,91.75,2021-01-02T23:58:02
2021-01-02T23:13:19,Piemonte,6024,0,6024,40885,14.73,13.88,0,94.18,2021-01-02T23:58:02
2021-01-02T23:13:19,Puglia,4607,0,4607,25855,17.82,11.49,0,64.5,2021-01-02T23:58:02
2021-01-02T23:13:19,Sardegna,302,0,302,12855,2.35,1.85,0,78.84,2021-01-02T23:58:02
2021-01-02T23:13:19,Sicilia,2471,0,2471,46510,5.31,4.97,0,93.61,2021-01-02T23:58:02
2021-01-02T23:13:19,Toscana,6824,0,6824,27920,24.44,18.33,0,75.0,2021-01-02T23:58:02
2021-01-02T23:13:19,Umbria,980,0,980,4960,19.76,11.13,0,56.35,2021-01-02T23:58:02
2021-01-02T23:13:19,Valle d'Aosta,62,0,62,995,6.23,4.94,0,79.28,2021-01-02T23:58:02
2021-01-02T23:13:19,Veneto,6041,0,6041,38900,15.53,12.31,0,79.26,2021-01-02T23:58:02
2021-01-02T23:13:19,Italia,67341,0,67341,479700,14.04,11.18,0,79.64,2021-01-02T23:58:02
