data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-01-20T19:05:22,Abruzzo,18079,96,18175,30490,59.61,138.45,0.74,233.5,2021-01-20T21:28:02
2021-01-20T19:05:22,Basilicata,10264,99,10363,17265,60.02,184.29,1.78,310.0,2021-01-20T21:28:02
2021-01-20T19:05:22,Calabria,20517,36,20553,39280,52.32,106.6,0.19,204.08,2021-01-20T21:28:02
2021-01-20T19:05:22,Campania,106019,247,106266,119875,88.65,183.24,0.43,207.19,2021-01-20T21:28:02
2021-01-20T19:05:22,Emilia-Romagna,122214,663,122877,148385,82.81,273.59,1.48,332.17,2021-01-20T21:28:02
2021-01-20T19:05:22,Friuli-Venezia Giulia,33841,0,33841,39655,85.34,279.36,0.0,327.36,2021-01-20T21:28:02
2021-01-20T19:05:22,Lazio,117281,2349,119630,145930,81.98,199.95,4.0,248.79,2021-01-20T21:28:02
2021-01-20T19:05:22,Liguria,33005,235,33240,49460,67.21,213.88,1.52,320.52,2021-01-20T21:28:02
2021-01-20T19:05:22,Lombardia,206075,1509,207584,254340,81.62,203.95,1.49,251.72,2021-01-20T21:28:02
2021-01-20T19:05:22,Marche,25984,210,26194,29000,90.32,171.13,1.38,190.99,2021-01-20T21:28:02
2021-01-20T19:05:22,Molise,6566,11,6577,11165,58.91,217.23,0.36,369.38,2021-01-20T21:28:02
2021-01-20T19:05:22,P.A. Bolzano,21526,170,21696,23155,93.7,413.25,3.26,444.53,2021-01-20T21:28:02
2021-01-20T19:05:22,P.A. Trento,11032,6,11038,15700,70.31,203.46,0.11,289.55,2021-01-20T21:28:02
2021-01-20T19:05:22,Piemonte,123759,858,124617,135460,92.0,285.07,1.98,312.02,2021-01-20T21:28:02
2021-01-20T19:05:22,Puglia,65961,362,66323,93325,71.07,164.56,0.9,232.83,2021-01-20T21:28:02
2021-01-20T19:05:22,Sardegna,25733,182,25915,33330,77.75,157.83,1.12,204.42,2021-01-20T21:28:02
2021-01-20T19:05:22,Sicilia,94667,49,94716,132085,71.71,190.54,0.1,265.85,2021-01-20T21:28:02
2021-01-20T19:05:22,Toscana,72915,725,73640,92890,79.28,195.86,1.95,249.52,2021-01-20T21:28:02
2021-01-20T19:05:22,Umbria,13724,84,13808,19025,72.58,155.9,0.95,216.12,2021-01-20T21:28:02
2021-01-20T19:05:22,Valle d'Aosta,3835,0,3835,4120,93.08,305.58,0.0,328.28,2021-01-20T21:28:02
2021-01-20T19:05:22,Veneto,110068,949,111017,124700,89.03,224.28,1.93,254.09,2021-01-20T21:28:02
2021-01-20T19:05:22,Italia,1243065,8840,1251905,1558635,80.32,206.38,1.47,258.77,2021-01-20T21:28:02
