data,denominazione_regione,dosi_somministrate,dosi_consegnate,percentuale_dosi_somministrate_su_consegnate,dosi_somministrate_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-01-15T12:40:01,Abruzzo,17994,24510,73.41,137.8,187.71,2021-01-15T13:32:02
2021-01-15T12:40:01,Basilicata,6520,13755,47.4,117.07,246.98,2021-01-15T13:32:02
2021-01-15T12:40:01,Calabria,15460,39280,39.36,80.32,204.08,2021-01-15T13:32:02
2021-01-15T12:40:01,Campania,93452,101145,92.39,161.52,174.81,2021-01-15T13:32:02
2021-01-15T12:40:01,Emilia-Romagna,100275,131625,76.18,224.47,294.65,2021-01-15T13:32:02
2021-01-15T12:40:01,Friuli-Venezia Giulia,25903,37315,69.42,213.83,308.04,2021-01-15T13:32:02
2021-01-15T12:40:01,Lazio,86949,132580,65.58,148.24,226.03,2021-01-15T13:32:02
2021-01-15T12:40:01,Liguria,27656,47120,58.69,179.22,305.35,2021-01-15T13:32:02
2021-01-15T12:40:01,Lombardia,143733,234645,61.26,142.25,232.23,2021-01-15T13:32:02
2021-01-15T12:40:01,Marche,19911,27500,72.4,131.13,181.11,2021-01-15T13:32:02
2021-01-15T12:40:01,Molise,5137,8825,58.21,169.95,291.96,2021-01-15T13:32:02
2021-01-15T12:40:01,P.A. Bolzano,11365,20620,55.12,218.18,395.86,2021-01-15T13:32:02
2021-01-15T12:40:01,P.A. Trento,8472,15700,53.96,156.25,289.55,2021-01-15T13:32:02
2021-01-15T12:40:01,Piemonte,87141,123760,70.41,200.72,285.07,2021-01-15T13:32:02
2021-01-15T12:40:01,Puglia,50280,74605,67.39,125.44,186.13,2021-01-15T13:32:02
2021-01-15T12:40:01,Sardegna,19994,33330,59.99,122.63,204.42,2021-01-15T13:32:02
2021-01-15T12:40:01,Sicilia,84337,125485,67.21,169.75,252.57,2021-01-15T13:32:02
2021-01-15T12:40:01,Toscana,60789,80570,75.45,163.29,216.43,2021-01-15T13:32:02
2021-01-15T12:40:01,Umbria,12240,15685,78.04,139.05,178.18,2021-01-15T13:32:02
2021-01-15T12:40:01,Valle d'Aosta,2879,3920,73.44,229.4,312.35,2021-01-15T13:32:02
2021-01-15T12:40:01,Veneto,91612,116900,78.37,186.67,238.2,2021-01-15T13:32:02
2021-01-15T12:40:01,Italia,972099,1408875,69.0,161.39,233.9,2021-01-15T13:32:02
