data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-04-19T04:05:47,16-19,17647,5935,23582,7.6,2.56,2021-04-19T17:08:01
2021-04-19T04:05:47,20-29,502289,260129,762418,81.58,42.25,2021-04-19T17:08:01
2021-04-19T04:05:47,30-39,738464,346761,1085225,106.21,49.87,2021-04-19T17:08:01
2021-04-19T04:05:47,40-49,1062580,434636,1497216,117.54,48.08,2021-04-19T17:08:01
2021-04-19T04:05:47,50-59,1424269,577767,2002036,149.9,60.81,2021-04-19T17:08:01
2021-04-19T04:05:47,60-69,1308843,423282,1732125,176.27,57.01,2021-04-19T17:08:01
2021-04-19T04:05:47,70-79,2219745,255040,2474785,369.54,42.46,2021-04-19T17:08:01
2021-04-19T04:05:47,80-89,2935497,1775060,4710557,804.8,486.65,2021-04-19T17:08:01
2021-04-19T04:05:47,90+,636130,428716,1064846,800.59,539.56,2021-04-19T17:08:01
2021-04-19T04:05:47,16+,10845464,4507326,15352790,209.18,86.93,2021-04-19T17:08:01
