data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-10T03:54:55,16-19,843,2322160,0.36,2021-01-10T04:28:01
2021-01-10T03:54:55,20-29,60392,6157183,9.81,2021-01-10T04:28:01
2021-01-10T03:54:55,30-39,97986,6952720,14.09,2021-01-10T04:28:01
2021-01-10T03:54:55,40-49,125598,9039799,13.89,2021-01-10T04:28:01
2021-01-10T03:54:55,50-59,164535,9501180,17.32,2021-01-10T04:28:01
2021-01-10T03:54:55,60-69,92741,7425175,12.49,2021-01-10T04:28:01
2021-01-10T03:54:55,70-79,12754,6006830,2.12,2021-01-10T04:28:01
2021-01-10T03:54:55,80-89,15944,3647476,4.37,2021-01-10T04:28:01
2021-01-10T03:54:55,90+,12257,794572,15.43,2021-01-10T04:28:01
2021-01-10T03:54:55,16+,583050,51847095,11.25,2021-01-10T04:28:01
