data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-07T05:37:16,16-19,368,2322160,0.16,2021-01-07T06:18:01
2021-01-07T05:37:16,20-29,33084,6157183,5.37,2021-01-07T06:18:01
2021-01-07T05:37:16,30-39,55852,6952720,8.03,2021-01-07T06:18:01
2021-01-07T05:37:16,40-49,71104,9039799,7.87,2021-01-07T06:18:01
2021-01-07T05:37:16,50-59,91507,9501180,9.63,2021-01-07T06:18:01
2021-01-07T05:37:16,60-69,50642,7425175,6.82,2021-01-07T06:18:01
2021-01-07T05:37:16,70-79,5670,6006830,0.94,2021-01-07T06:18:01
2021-01-07T05:37:16,80-89,7208,3647476,1.98,2021-01-07T06:18:01
2021-01-07T05:37:16,90+,5642,794572,7.1,2021-01-07T06:18:01
2021-01-07T05:37:16,16+,321077,51847095,6.19,2021-01-07T06:18:01
