data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-02-13T07:00:32,16-19,1799,1235,3034,0.77,0.53,2021-02-13T13:06:02
2021-02-13T07:00:32,20-29,171574,130619,302193,27.87,21.21,2021-02-13T13:06:02
2021-02-13T07:00:32,30-39,243926,197217,441143,35.08,28.37,2021-02-13T13:06:02
2021-02-13T07:00:32,40-49,303366,246680,550046,33.56,27.29,2021-02-13T13:06:02
2021-02-13T07:00:32,50-59,400752,332432,733184,42.18,34.99,2021-02-13T13:06:02
2021-02-13T07:00:32,60-69,249597,206564,456161,33.61,27.82,2021-02-13T13:06:02
2021-02-13T07:00:32,70-79,64569,45131,109700,10.75,7.51,2021-02-13T13:06:02
2021-02-13T07:00:32,80-89,114010,62808,176818,31.26,17.22,2021-02-13T13:06:02
2021-02-13T07:00:32,90+,72944,48495,121439,91.8,61.03,2021-02-13T13:06:02
2021-02-13T07:00:32,16+,1622537,1271181,2893718,31.29,24.52,2021-02-13T13:06:02
