data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-10T05:54:,16-19,843,2322160,0.36,2021-01-10T05:56:02
2021-01-10T05:54:,20-29,60392,6157183,9.81,2021-01-10T05:56:02
2021-01-10T05:54:,30-39,97986,6952720,14.09,2021-01-10T05:56:02
2021-01-10T05:54:,40-49,125598,9039799,13.89,2021-01-10T05:56:02
2021-01-10T05:54:,50-59,164535,9501180,17.32,2021-01-10T05:56:02
2021-01-10T05:54:,60-69,92741,7425175,12.49,2021-01-10T05:56:02
2021-01-10T05:54:,70-79,12754,6006830,2.12,2021-01-10T05:56:02
2021-01-10T05:54:,80-89,15944,3647476,4.37,2021-01-10T05:56:02
2021-01-10T05:54:,90+,12257,794572,15.43,2021-01-10T05:56:02
2021-01-10T05:54:,16+,583050,51847095,11.25,2021-01-10T05:56:02
