data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-04T23:22:26,16-19,171,0,171,0.07,0,2021-01-04T23:58:01
2021-01-04T23:22:26,20-29,16606,0,16606,2.7,0,2021-01-04T23:58:01
2021-01-04T23:22:26,30-39,27911,0,27911,4.01,0,2021-01-04T23:58:01
2021-01-04T23:22:26,40-49,36346,0,36346,4.02,0,2021-01-04T23:58:01
2021-01-04T23:22:26,50-59,45388,0,45388,4.78,0,2021-01-04T23:58:01
2021-01-04T23:22:26,60-69,23333,0,23333,3.14,0,2021-01-04T23:58:01
2021-01-04T23:22:26,70-79,2298,0,2298,0.38,0,2021-01-04T23:58:01
2021-01-04T23:22:26,80-89,3484,0,3484,0.96,0,2021-01-04T23:58:01
2021-01-04T23:22:26,90+,2642,0,2642,3.33,0,2021-01-04T23:58:01
2021-01-04T23:22:26,16+,158179,0,158179,3.05,0,2021-01-04T23:58:01
2021-01-05T23:18:44,16-19,194,0,194,0.08,0,2021-01-05T23:58:02
2021-01-05T23:18:44,20-29,19412,0,19412,3.15,0,2021-01-05T23:58:02
2021-01-05T23:18:44,30-39,33991,0,33991,4.89,0,2021-01-05T23:58:02
2021-01-05T23:18:44,40-49,43630,0,43630,4.83,0,2021-01-05T23:58:02
2021-01-05T23:18:44,50-59,54964,0,54964,5.78,0,2021-01-05T23:58:02
2021-01-05T23:18:44,60-69,29103,0,29103,3.92,0,2021-01-05T23:58:02
2021-01-05T23:18:44,70-79,2823,0,2823,0.47,0,2021-01-05T23:58:02
2021-01-05T23:18:44,80-89,3875,0,3875,1.06,0,2021-01-05T23:58:02
2021-01-05T23:18:44,90+,3019,0,3019,3.8,0,2021-01-05T23:58:02
2021-01-05T23:18:44,16+,191011,0,191011,3.68,0,2021-01-05T23:58:02
2021-01-06T23:38:06,16-19,368,0,368,0.16,0,2021-01-06T23:58:01
2021-01-06T23:38:06,20-29,33084,0,33084,5.37,0,2021-01-06T23:58:01
2021-01-06T23:38:06,30-39,55852,0,55852,8.03,0,2021-01-06T23:58:01
