data,denominazione_regione,dosi_somministrate_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-01-04T08:24:51,Abruzzo,8.85,60.77,2021-01-04T08:26:01
2021-01-04T08:24:51,Basilicata,33.47,89.42,2021-01-04T08:26:01
2021-01-04T08:24:51,Calabria,2.35,67.31,2021-01-04T08:26:01
2021-01-04T08:24:51,Campania,18.57,58.54,2021-01-04T08:26:01
2021-01-04T08:24:51,Emilia-Romagna,18.48,98.22,2021-01-04T08:26:01
2021-01-04T08:24:51,Friuli-Venezia Giulia,28.65,98.77,2021-01-04T08:26:01
2021-01-04T08:24:51,Lazio,38.04,78.09,2021-01-04T08:26:01
2021-01-04T08:24:51,Liguria,16.73,103.17,2021-01-04T08:26:01
2021-01-04T08:24:51,Lombardia,3.09,79.77,2021-01-04T08:26:01
2021-01-04T08:24:51,Marche,11.37,59.11,2021-01-04T08:26:01
2021-01-04T08:24:51,Molise,1.65,98.42,2021-01-04T08:26:01
2021-01-04T08:24:51,P.A. Bolzano,19.91,115.09,2021-01-04T08:26:01
2021-01-04T08:24:51,P.A. Trento,50.28,91.75,2021-01-04T08:26:01
2021-01-04T08:24:51,Piemonte,29.03,94.18,2021-01-04T08:26:01
2021-01-04T08:24:51,Puglia,16.97,64.5,2021-01-04T08:26:01
2021-01-04T08:24:51,Sardegna,2.4,78.84,2021-01-04T08:26:01
2021-01-04T08:24:51,Sicilia,23.42,93.61,2021-01-04T08:26:01
2021-01-04T08:24:51,Toscana,28.33,75.0,2021-01-04T08:26:01
2021-01-04T08:24:51,Umbria,14.2,56.35,2021-01-04T08:26:01
2021-01-04T08:24:51,Valle d'Aosta,3.51,79.28,2021-01-04T08:26:01
2021-01-04T08:24:51,Veneto,32.15,79.26,2021-01-04T08:26:01
2021-01-04T08:24:51,Italia,19.68,79.64,2021-01-04T08:26:01
