data,denominazione_regione,dosi_somministrate_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-01-02T23:13:19,Abruzzo,5.25,60.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Basilicata,5.44,89.42,2021-01-02T23:58:02
2021-01-02T23:13:19,Calabria,2.33,67.31,2021-01-02T23:58:02
2021-01-02T23:13:19,Campania,11.53,58.54,2021-01-02T23:58:02
2021-01-02T23:13:19,Emilia-Romagna,12.32,98.22,2021-01-02T23:58:02
2021-01-02T23:13:19,Friuli-Venezia Giulia,16.08,98.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Lazio,27.9,78.09,2021-01-02T23:58:02
2021-01-02T23:13:19,Liguria,12.24,103.17,2021-01-02T23:58:02
2021-01-02T23:13:19,Lombardia,2.42,79.77,2021-01-02T23:58:02
2021-01-02T23:13:19,Marche,6.28,59.11,2021-01-02T23:58:02
2021-01-02T23:13:19,Molise,1.65,98.42,2021-01-02T23:58:02
2021-01-02T23:13:19,P.A. Bolzano,19.91,115.09,2021-01-02T23:58:02
2021-01-02T23:13:19,P.A. Trento,31.91,91.75,2021-01-02T23:58:02
2021-01-02T23:13:19,Piemonte,13.88,94.18,2021-01-02T23:58:02
2021-01-02T23:13:19,Puglia,11.49,64.5,2021-01-02T23:58:02
2021-01-02T23:13:19,Sardegna,1.85,78.84,2021-01-02T23:58:02
2021-01-02T23:13:19,Sicilia,4.97,93.61,2021-01-02T23:58:02
2021-01-02T23:13:19,Toscana,18.33,75.0,2021-01-02T23:58:02
2021-01-02T23:13:19,Umbria,11.13,56.35,2021-01-02T23:58:02
2021-01-02T23:13:19,Valle d'Aosta,4.94,79.28,2021-01-02T23:58:02
2021-01-02T23:13:19,Veneto,12.31,79.26,2021-01-02T23:58:02
2021-01-02T23:13:19,Italia,11.18,79.64,2021-01-02T23:58:02
2021-01-03T23:26:04,Abruzzo,8.85,60.77,2021-01-03T23:58:01
2021-01-03T23:26:04,Basilicata,26.32,89.42,2021-01-03T23:58:01
2021-01-03T23:26:04,Calabria,2.35,67.31,2021-01-03T23:58:01
2021-01-03T23:26:04,Campania,18.57,58.54,2021-01-03T23:58:01
2021-01-03T23:26:04,Emilia-Romagna,18.48,98.22,2021-01-03T23:58:01
2021-01-03T23:26:04,Friuli-Venezia Giulia,28.65,98.77,2021-01-03T23:58:01
2021-01-03T23:26:04,Lazio,38.04,78.09,2021-01-03T23:58:01
2021-01-03T23:26:04,Liguria,16.73,103.17,2021-01-03T23:58:01
2021-01-03T23:26:04,Lombardia,3.09,79.77,2021-01-03T23:58:01
2021-01-03T23:26:04,Marche,10.74,59.11,2021-01-03T23:58:01
2021-01-03T23:26:04,Molise,1.65,98.42,2021-01-03T23:58:01
2021-01-03T23:26:04,P.A. Bolzano,19.91,115.09,2021-01-03T23:58:01
2021-01-03T23:26:04,P.A. Trento,50.28,91.75,2021-01-03T23:58:01
2021-01-03T23:26:04,Piemonte,29.03,94.18,2021-01-03T23:58:01
2021-01-03T23:26:04,Puglia,16.97,64.5,2021-01-03T23:58:01
2021-01-03T23:26:04,Sardegna,2.4,78.84,2021-01-03T23:58:01
2021-01-03T23:26:04,Sicilia,23.37,93.61,2021-01-03T23:58:01
2021-01-03T23:26:04,Toscana,28.33,75.0,2021-01-03T23:58:01
2021-01-03T23:26:04,Umbria,14.2,56.35,2021-01-03T23:58:01
2021-01-03T23:26:04,Valle d'Aosta,3.51,79.28,2021-01-03T23:58:01
2021-01-03T23:26:04,Veneto,32.15,79.26,2021-01-03T23:58:01
2021-01-03T23:26:04,Italia,19.6,79.64,2021-01-03T23:58:01
